METAPOPULATION MODEL results; Date=8/2/2023 Time=23:01:31
===========================================================
B10




   22 populations (22 included in summation)
 1000 replications;  Duration = 100
===========================================================

Trajectory summary (Metapopulation)

      Time                        Abundance
             Minimum    -1 S.D.    Average    +1 S.D.    Maximum
       11       0.00       0.56       4.43       8.30      17.00
       12       0.00       0.48       4.27       8.05      18.00
       13       0.00       0.44       4.30       8.16      16.00
       14       0.00       0.29       4.20       8.11      18.00
       15       0.00       0.25       4.08       7.91      15.00
       16       0.00       0.05       4.03       8.01      18.00
       17       0.00       0.01       3.80       7.58      18.00
       18       0.00      -0.10       3.71       7.53      16.00
       19       0.00      -0.25       3.65       7.55      19.00
       20       0.00      -0.30       3.40       7.09      19.00
       21       0.00      -0.35       3.28       6.90      16.00
       22       0.00      -0.42       3.32       7.05      20.00
       23       0.00      -0.44       3.25       6.94      16.00
       24       0.00      -0.42       3.26       6.93      16.00
       25       0.00      -0.53       3.15       6.84      19.00
       26       0.00      -0.57       3.18       6.92      15.00
       27       0.00      -0.64       3.16       6.95      18.00
       28       0.00      -0.68       3.15       6.98      19.00
       29       0.00      -0.74       3.02       6.78      15.00
       30       0.00      -0.85       2.98       6.81      16.00
       31       0.00      -0.83       2.87       6.56      17.00
       32       0.00      -0.84       2.76       6.35      16.00
       33       0.00      -0.88       2.72       6.31      19.00
       34       0.00      -0.97       2.68       6.33      26.00
       35       0.00      -0.98       2.70       6.38      15.00
       36       0.00      -1.11       2.65       6.40      20.00
       37       0.00      -1.03       2.65       6.32      16.00
       38       0.00      -1.05       2.54       6.14      18.00
       39       0.00      -1.16       2.55       6.27      17.00
       40       0.00      -1.14       2.46       6.05      18.00
       41       0.00      -1.22       2.49       6.19      16.00
       42       0.00      -1.25       2.49       6.24      18.00
       43       0.00      -1.21       2.41       6.04      16.00
       44       0.00      -1.26       2.32       5.91      19.00
       45       0.00      -1.24       2.24       5.72      15.00
