METAPOPULATION MODEL results; Date=7/6/2023 Time=17:26:08
===========================================================
cont150_0




  116 populations (116 included in summation)
 1000 replications;  Duration = 100
===========================================================

Trajectory summary (Metapopulation)

      Time                        Abundance
             Minimum    -1 S.D.    Average    +1 S.D.    Maximum
       33       0.00       0.00       0.00       0.00       0.00
       34       0.00       0.00       0.00       0.00       0.00
       35       0.00       0.00       0.00       0.00       0.00
       36       0.00       0.00       0.00       0.00       0.00
       37       0.00       0.00       0.00       0.00       0.00
       38       0.00       0.00       0.00       0.00       0.00
       39       0.00       0.00       0.00       0.00       0.00
       40       0.00       0.00       0.00       0.00       0.00
       41       0.00       0.00       0.00       0.00       0.00
       42       0.00       0.00       0.00       0.00       0.00
       43       0.00       0.00       0.00       0.00       0.00
       44       0.00       0.00       0.00       0.00       0.00
       45       0.00       0.00       0.00       0.00       0.00
       46       0.00       0.00       0.00       0.00       0.00
       47       0.00       0.00       0.00       0.00       0.00
       48       0.00       0.00       0.00       0.00       0.00
