METAPOPULATION MODEL results; Date=8/2/2023 Time=21:30:00
===========================================================
B10




   16 populations (16 included in summation)
 1000 replications;  Duration = 100
===========================================================

Trajectory summary (Metapopulation)

      Time                        Abundance
             Minimum    -1 S.D.    Average    +1 S.D.    Maximum
       13       0.00      -0.82       0.69       2.20       9.00
       14       0.00      -0.83       0.60       2.03      10.00
       15       0.00      -0.82       0.55       1.91       9.00
       16       0.00      -0.82       0.49       1.80       9.00
       17       0.00      -0.80       0.41       1.61       8.00
       18       0.00      -0.83       0.39       1.61       9.00
       19       0.00      -0.78       0.34       1.47       9.00
       20       0.00      -0.75       0.31       1.38       7.00
       21       0.00      -0.70       0.26       1.23       9.00
       22       0.00      -0.75       0.27       1.29       9.00
       23       0.00      -0.77       0.26       1.29       9.00
       24       0.00      -0.74       0.24       1.22       8.00
       25       0.00      -0.66       0.20       1.06       7.00
       26       0.00      -0.61       0.17       0.95       7.00
       27       0.00      -0.64       0.17       0.97       9.00
       28       0.00      -0.69       0.15       0.99      10.00
       29       0.00      -0.55       0.12       0.79       8.00
       30       0.00      -0.65       0.14       0.92       9.00
       31       0.00      -0.57       0.12       0.82       8.00
       32       0.00      -0.56       0.12       0.79       8.00
       33       0.00      -0.50       0.09       0.69       7.00
       34       0.00      -0.38       0.07       0.52       5.00
       35       0.00      -0.41       0.07       0.56       5.00
       36       0.00      -0.40       0.06       0.52       6.00
       37       0.00      -0.45       0.07       0.59       8.00
       38       0.00      -0.40       0.06       0.52       7.00
       39       0.00      -0.37       0.05       0.48       6.00
       40       0.00      -0.40       0.05       0.51       6.00
       41       0.00      -0.35       0.04       0.43       6.00
       42       0.00      -0.35       0.04       0.43       6.00
       43       0.00      -0.32       0.03       0.39       5.00
       44       0.00      -0.31       0.03       0.36       8.00
       45       0.00      -0.29       0.03       0.35       5.00
       46       0.00      -0.33       0.03       0.39       8.00
       47       0.00      -0.30       0.03       0.35       6.00
       48       0.00      -0.26       0.02       0.30       5.00
       49       0.00      -0.25       0.02       0.28       5.00
       50       0.00      -0.19       0.01       0.21       5.00
       51       0.00      -0.14       0.01       0.16       4.00
       52       0.00      -0.14       0.01       0.15       4.00
       53       0.00      -0.14       0.01       0.15       4.00
       54       0.00      -0.21       0.01       0.23       4.00
       55       0.00      -0.14       0.01       0.15       4.00
       56       0.00      -0.19       0.01       0.21       6.00
       57       0.00      -0.15       0.01       0.17       4.00
       58       0.00      -0.15       0.01       0.17       4.00
       59       0.00      -0.13       0.00       0.14       4.00
       60       0.00      -0.04       0.00       0.05       1.00
       61       0.00      -0.06       0.00       0.07       2.00
       62       0.00      -0.06       0.00       0.07       2.00
       63       0.00      -0.09       0.00       0.10       3.00
       64       0.00      -0.06       0.00       0.07       2.00
       65       0.00      -0.03       0.00       0.03       1.00
       66       0.00      -0.15       0.00       0.16       5.00
       67       0.00      -0.18       0.01       0.20       6.00
       68       0.00      -0.06       0.00       0.07       2.00
       69       0.00      -0.06       0.00       0.07       2.00
       70       0.00      -0.09       0.00       0.10       3.00
       71       0.00      -0.09       0.00       0.10       3.00
       72       0.00      -0.06       0.00       0.07       2.00
       73       0.00      -0.06       0.00       0.07       2.00
       74       0.00      -0.03       0.00       0.03       1.00
       75       0.00       0.00       0.00       0.00       0.00
       76       0.00       0.00       0.00       0.00       0.00
       77       0.00       0.00       0.00       0.00       0.00
       78       0.00       0.00       0.00       0.00       0.00
       79       0.00       0.00       0.00       0.00       0.00
       80       0.00       0.00       0.00       0.00       0.00
       81       0.00       0.00       0.00       0.00       0.00
       82       0.00       0.00       0.00       0.00       0.00
       83       0.00       0.00       0.00       0.00       0.00
       84       0.00       0.00       0.00       0.00       0.00
       85       0.00       0.00       0.00       0.00       0.00
       86       0.00       0.00       0.00       0.00       0.00
       87       0.00       0.00       0.00       0.00       0.00
       88       0.00       0.00       0.00       0.00       0.00
       89       0.00       0.00       0.00       0.00       0.00
       90       0.00       0.00       0.00       0.00       0.00
       91       0.00       0.00       0.00       0.00       0.00
       92       0.00       0.00       0.00       0.00       0.00
       93       0.00       0.00       0.00       0.00       0.00
       94       0.00       0.00       0.00       0.00       0.00
       95       0.00       0.00       0.00       0.00       0.00
       96       0.00       0.00       0.00       0.00       0.00
       97       0.00       0.00       0.00       0.00       0.00
       98       0.00       0.00       0.00       0.00       0.00
       99       0.00       0.00       0.00       0.00       0.00
      100       0.00       0.00       0.00       0.00       0.00

Trajectory summary (Population 5: Pop 5)

      Time                        Abundance
             Minimum    -1 S.D.    Average    +1 S.D.    Maximum
        0       3.00       3.00       3.00       3.00       3.00
        1       0.00       1.77       3.73       5.70      11.00
        2       0.00       1.55       4.31       7.08      15.00
        3       0.00       1.48       4.68       7.88      16.00
        4       0.00       1.47       4.86       8.24      16.00
        5       0.00       1.37       4.84       8.32      15.00
        6       0.00       1.18       4.83       8.49      21.00
        7       0.00       1.07       4.66       8.26      16.00
        8       0.00       0.98       4.59       8.20      16.00
        9       0.00       0.82       4.43       8.05      16.00
       10       0.00       0.63       4.38       8.13      23.00
       11       0.00       0.53       4.32       8.11      19.00
       12       0.00       0.49       4.29       8.08      17.00
       13       0.00       0.33       4.29       8.25      18.00
       14       0.00       0.24       4.15       8.05      16.00
       15       0.00       0.06       4.04       8.02      24.00
       16       0.00       0.03       3.87       7.70      16.00
       17       0.00      -0.05       3.82       7.70      18.00
       18       0.00      -0.18       3.66       7.51      17.00
       19       0.00      -0.24       3.54       7.32      18.00
       20       0.00      -0.33       3.50       7.33      17.00
       21       0.00      -0.37       3.47       7.32      18.00
       22       0.00      -0.47       3.35       7.16      18.00
       23       0.00      -0.49       3.25       6.98      17.00
       24       0.00      -0.60       3.14       6.88      17.00
       25       0.00      -0.63       3.12       6.88      17.00
       26       0.00      -0.71       3.06       6.83      18.00
       27       0.00      -0.74       3.01       6.76      16.00
       28       0.00      -0.81       2.96       6.72      18.00
       29       0.00      -0.83       2.85       6.52      17.00
       30       0.00      -0.84       2.77       6.37      16.00
       31       0.00      -0.96       2.79       6.53      16.00
       32       0.00      -0.92       2.63       6.17      16.00
       33       0.00      -1.00       2.61       6.22      17.00
       34       0.00      -1.03       2.63       6.30      16.00
       35       0.00      -1.14       2.55       6.23      16.00
       36       0.00      -1.11       2.47       6.05      16.00
       37       0.00      -1.21       2.40       6.01      18.00
       38       0.00      -1.17       2.30       5.77      18.00
       39       0.00      -1.24       2.18       5.60      14.00
       40       0.00      -1.32       2.18       5.67      16.00
       41       0.00      -1.29       2.13       5.56      15.00
       42       0.00      -1.32       2.09       5.50      17.00
       43       0.00      -1.37       2.13       5.62      18.00
       44       0.00      -1.37       2.05       5.47      16.00
       45       0.00      -1.37       2.03       5.43      17.00
       46       0.00      -1.37       1.96       5.29      16.00
       47       0.00      -1.35       1.89       5.14      15.00
       48       0.00      -1.43       1.91       5.24      15.00
       49       0.00      -1.46       1.83       5.12      16.00
       50       0.00      -1.42       1.75       4.93      17.00
       51       0.00      -1.51       1.74       5.00      17.00
       52       0.00      -1.52       1.67       4.87      15.00
       53       0.00      -1.56       1.62       4.81      15.00
